time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
2.160,99.9665,543.797,335.264,68.662,23.836,-39.495,-114.920
2.180,99.9382,551.274,332.473,104.772,-15.120,-17.861,-139.554
2.200,99.9134,558.563,330.122,79.869,11.207,-27.923,-117.548
2.220,99.8826,566.156,327.953,62.792,-41.802,-11.320,-108.479
2.240,99.8573,573.593,325.648,78.979,-25.615,2.516,-115.267
2.260,99.8275,581.249,323.434,74.177,22.235,-12.830,-110.693
2.280,99.8048,588.552,321.095,48.384,45.538,-52.577,-116.929
2.300,99.7790,595.797,319.165,63.504,9.072,4.277,-96.491
2.320,99.7542,602.917,317.077,67.239,-2.846,26.163,-104.406
2.340,99.7372,609.353,314.799,62.792,33.620,-39.998,-113.889
2.360,99.7068,616.226,312.960,55.677,14.053,-16.603,-91.975
2.380,99.6753,623.556,310.636,66.350,51.408,-3.270,-116.199
2.400,99.6492,630.883,307.454,103.171,-34.865,-65.155,-159.105
2.420,99.6212,638.342,305.343,72.576,3.558,-10.063,-105.556
2.440,99.5935,645.904,302.876,86.806,-0.356,-27.672,-123.311
2.460,99.5708,653.164,301.019,60.480,4.625,0.503,-92.858
2.480,99.5445,660.442,298.398,92.498,-25.259,24.150,-131.080
2.500,99.5218,667.465,295.840,93.921,-14.231,-11.572,-127.896
2.520,99.4980,674.358,293.910,36.288,25.971,-46.287,-96.495
2.540,99.4753,681.059,292.198,43.759,2.846,-30.439,-85.580
2.560,99.4521,687.640,290.378,45.182,35.221,-13.333,-91.019
2.580,99.4334,693.783,288.283,53.187,-23.302,-43.520,-104.766
2.600,99.4081,700.059,286.439,57.278,-13.875,-11.069,-92.165
2.620,99.3874,706.115,284.412,63.326,-9.606,-26.163,-101.387
2.640,99.3662,712.029,282.714,49.451,-17.432,-5.283,-84.899
2.660,99.3414,718.102,281.367,15.476,18.678,-25.408,-67.327
2.680,99.3130,724.596,279.658,47.672,19.923,-12.830,-85.437
2.700,99.2888,731.138,277.790,41.091,3.024,-45.281,-93.421
2.720,99.2630,737.854,276.167,27.927,35.754,-18.364,-81.144
2.740,99.2413,744.409,273.427,97.657,29.350,-24.150,-136.993
2.760,99.2226,750.597,271.609,52.119,16.899,21.131,-90.924
2.780,99.1999,756.780,269.224,75.422,15.654,40.502,-119.228
